id,name,description,citation_uri,child_ids/0,child_ids/1,child_ids/2,child_ids/3,child_ids/4,child_ids/5,child_ids/6,child_ids/7,child_ids/8,restrictions/0,child_ids/9,child_ids/10,child_ids/11,child_ids/12,positive_examples/0,positive_examples/1,positive_examples/2,positive_examples/3,positive_examples/4,positive_examples/5,positive_examples/6,positive_examples/7,positive_examples/8,positive_examples/9,positive_examples/10,positive_examples/11,positive_examples/12,child_ids/13,child_ids/14,child_ids/15,child_ids/16,child_ids/17,child_ids/18,child_ids/19,child_ids/20,child_ids/21,child_ids/22,child_ids/23,child_ids/24,restrictions/1,child_ids/25,child_ids/26
/m/0dgw9r,Human sounds,Sounds produced by the human body through the actions of the individual.,,/m/09l8g,/m/01w250,/m/09hlz4,/m/0bpl036,/m/0160x5,/m/0k65p,/m/01jg02,/m/04xp5v,/t/dd00012,abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/09l8g,Human voice,"The human voice consists of sound made by a human being using the vocal folds for talking, singing, laughing, crying, screaming, etc. The human voice is specifically a part of human sound production in which the vocal folds are the primary sound source.",http://en.wikipedia.org/wiki/Human_voice,/m/09x0r,/m/07p6fty,/m/03qc9zr,/m/02rtxlg,/m/01j3sz,/m/0463cq4,/m/07qw_06,/m/07plz5l,/m/015lz1,abstract,/m/02fxyj,/m/07s2xch,/m/07r4k75,/m/01j423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/m/09x0r,Speech,"Speech is the vocalized form of human communication, created out of the phonetic combination of a limited set of vowel and consonant speech sound units.",http://en.wikipedia.org/wiki/Speech,/m/05zppz,/m/02zsn,/m/0ytgt,/m/01h8n0,/m/02qldy,/m/0261r1,/m/0brhx,,,,,,,,youtu.be/8uI9H5jGRV8?start=30&end=40,youtu.be/cz8QIJHjZh4?start=30&end=40,youtu.be/91FIbeKyIhw?start=30&end=40,youtu.be/V3HdocEv8gw?start=220&end=230,youtu.be/a8igK2oWlVY?start=30&end=40,youtu.be/2hvTtM7VdJg?start=30&end=40,youtu.be/S7ytQItOrkk?start=30&end=40,youtu.be/Zyl2Q3GepPA?start=30&end=40,youtu.be/CU1qRm_Bcps?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/05zppz,"Male speech, man speaking",Speech uttered by an adult male human.,,,,,,,,,,,,,,,,youtu.be/6niRPYpLOpQ?start=30&end=40,youtu.be/fPgUDHwQOmM?start=320&end=330,youtu.be/g3YNJ3ESIW0?start=30&end=40,youtu.be/Dys9DJoFnGA?start=30&end=40,youtu.be/3PESOesDniw?start=30&end=40,youtu.be/E8RfeFAzHK4?start=30&end=40,youtu.be/A_WSbkJozPs?start=90&end=100,youtu.be/-yZuFZRojYA?start=30&end=40,youtu.be/ECOK21oFttk?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/02zsn,"Female speech, woman speaking",Speech uttered by an adult female human.,,,,,,,,,,,,,,,,youtu.be/4l05nCOnIRg?start=30&end=40,youtu.be/5zyOhZsvIzI?start=30&end=40,youtu.be/q0wv9AOl4r0?start=100&end=110,youtu.be/AyPqm-tm2y4?start=30&end=40,youtu.be/1xXqIpjxYG4?start=30&end=40,youtu.be/xYPZJkfiyjk?start=90&end=100,youtu.be/46lVxNflfDw?start=30&end=40,youtu.be/8OpLsWMn6P0?start=30&end=40,youtu.be/WLi5_z61zCE?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/0ytgt,"Child speech, kid speaking","Speech uttered by a human child, i.e. a human whose voice does not yet resemble that of an adult.",,,,,,,,,,,,,,,,youtu.be/iPIGoScYduI?start=210&end=220,youtu.be/DiJgMH7vg1E?start=30&end=40,youtu.be/yy0LZBmZRvE?start=60&end=70,youtu.be/arz0xujSWdY?start=230&end=240,youtu.be/-oC3FVOx62g?start=210&end=220,youtu.be/5-R8zaohZrU?start=10&end=20,youtu.be/OXJ77G_TqDc?start=40&end=50,youtu.be/koW60o-aLjI?start=470&end=480,youtu.be/uBVLhywbCQk?start=30&end=40,,,,,,,,,,,,,,,,,,,
/m/01h8n0,Conversation,"Interactive, spontaneous spoken communication between two or more people.",http://en.wikipedia.org/wiki/Conversation,,,,,,,,,,,,,,,youtu.be/4FQxw_49xAk?start=30&end=40,youtu.be/0WcG16XxghA?start=30&end=40,youtu.be/RHfaNoYg8vs?start=170&end=180,youtu.be/twGajApu-7g?start=560&end=570,youtu.be/A0Lpt0VWYCA?start=50&end=60,youtu.be/ermWzXxDjOQ?start=110&end=120,youtu.be/sEF1KNfvY90?start=230&end=240,youtu.be/DhlPa8lUosM?start=300&end=310,,,,,,,,,,,,,,,,,,,,
/m/02qldy,"Narration, monologue","Speech by a single human aimed at an audience (either present or assumed, as in a video blog).",http://en.wikipedia.org/wiki/Narration,,,,,,,,,,,,,,,youtu.be/8maPz8qrmnM?start=30&end=40,youtu.be/8vmb60ydHtY?start=30&end=40,youtu.be/fL52Quhhomc?start=30&end=40,youtu.be/6tXGhWY1I8I?start=30&end=40,youtu.be/FwRo7yXVnL0?start=30&end=40,youtu.be/TKPjvQtnELU?start=360&end=370,youtu.be/Cf6AAX-r6wk?start=30&end=40,youtu.be/EmLsodfGoes?start=30&end=40,youtu.be/20lm7Ow9RSY?start=30&end=40,youtu.be/25K0bryItv4?start=30&end=40,,,,,,,,,,,,,,,,,,
/m/0261r1,Babbling,Speech-like sounds uttered by a human that lack the deeper structure and meaning of conventional speech. Babbling is a stage in a child's development of language.,http://en.wikipedia.org/wiki/Babbling,,,,,,,,,,,,,,,youtu.be/ZR48r_8OhUI?start=50&end=60,youtu.be/2ZxE0uMIfa0?start=10&end=20,youtu.be/vFbu0dH7f-U?start=10&end=20,youtu.be/soXBLBCaClA?start=90&end=100,youtu.be/ICajcUYAan8?start=410&end=420,youtu.be/lluzItlOMlQ?start=10&end=20,youtu.be/EyCpVw_Xn60?start=130&end=140,,,,,,,,,,,,,,,,,,,,,
/m/0brhx,Speech synthesizer,Artificially-produced human speech.,http://en.wikipedia.org/wiki/Speech_synthesis,,,,,,,,,,,,,,,youtu.be/Y1ywO5WfUqE?start=90&end=100,youtu.be/-2Krnsj-edU?start=40&end=50,youtu.be/0npIcSXb1Bc?start=13&end=23,youtu.be/0wVUdVYmZ5A?start=30&end=40,,,,,,,,,,,,,,,,,,,,,,,,
